AK,9.62,9.47,9.55,10.27,10.27,10.54,10.52,10.61,10.54,10.42,10.76,9.75,10.12,10.16,10.47,10.66,10.97,11.0,11.22,10.88,10.84,10.9,11.11,10.42,10.39,10.46,10.46,10.93,11.11,10.93,11.28,11.3,11.34,10.84,10.9,10.55,10.51,10.77,10.99,11.23,11.54,11.56,11.5,11.45,11.34,11.32,11.27,10.98,10.83,11.25,11.02,11.37,11.79,11.42,11.53,11.63,11.64,11.58,11.4,10.93,10.95,11.17,11.2,11.22,11.52,11.57,11.59,11.69,11.48,11.21,10.99,10.79,11.0,10.55,11.05,11.33,11.68,11.85,11.92,11.7,11.91,11.75,11.62,10.87,10.9,11.15,11.39,11.77,11.74,11.76,11.69,11.6,11.42,11.65,11.44,11.28
AL,5.96,7.0,6.18,6.93,6.52,6.8,6.43,6.94,6.58,6.66,6.67,6.63,6.41,6.43,6.63,6.78,6.83,6.77,6.89,6.81,6.71,6.74,6.72,6.48,6.35,6.4,6.74,6.78,7.04,6.86,6.78,6.78,6.72,7.03,6.77,6.17,6.13,6.59,6.36,6.88,6.89,6.93,6.95,7.05,7.06,7.22,7.02,6.7,6.32,6.44,6.86,6.71,6.9,6.91,6.76,6.78,6.62,6.93,6.77,6.45,6.19,6.26,6.42,7.1,6.94,6.88,6.82,6.92,7.02,7.1,6.59,6.19,6.21,6.26,6.13,6.46,6.88,6.74,6.83,6.9,6.88,7.05,6.91,6.37,6.19,6.57,6.77,6.98,7.14,6.86,6.7,6.85,6.9,7.03,6.75,6.43
AR,7.06,7.72,7.85,7.93,8.43,8.6,8.33,8.44,8.39,8.12,7.9,7.7,7.32,7.62,7.86,8.21,8.37,8.61,8.46,8.61,8.55,8.38,6.9,7.67,7.46,7.74,8.01,8.08,8.48,9.07,8.6,8.56,8.72,8.55,8.24,7.63,7.67,7.74,7.68,8.07,8.33,8.81,8.49,8.55,8.82,8.63,8.19,7.91,7.48,7.58,7.66,7.95,8.26,8.55,8.32,8.39,8.47,8.12,8.28,7.68,7.45,7.45,7.66,8.02,8.11,8.29,8.31,8.27,8.32,8.08,7.96,7.53,7.22,6.7,7.45,7.46,8.01,8.4,8.15,8.26,8.26,8.04,7.75,7.34,7.29,7.29,7.38,8.02,8.16,8.26,8.15,8.0,8.3,7.78,7.58,7.29
AZ,7.83,7.85,8.18,8.97,9.37,9.84,9.77,9.63,9.51,9.6,8.88,8.43,7.68,8.31,8.63,9.01,9.73,9.77,9.81,9.68,9.71,9.61,8.97,8.44,8.33,8.83,9.02,9.52,9.67,10.19,10.12,10.13,10.25,10.18,9.45,8.64,8.57,8.85,9.08,9.36,9.9,10.26,10.2,10.2,10.31,10.25,9.13,8.65,8.13,8.34,8.92,9.15,9.8,10.04,9.95,9.78,9.77,9.79,9.05,7.96,8.07,8.52,8.8,8.82,9.38,9.66,9.55,9.48,9.44,9.47,8.57,8.34,7.98,8.45,8.46,8.96,9.23,9.4,9.31,9.28,9.28,9.34,8.73,8.09,7.83,7.92,8.25,8.64,9.22,9.37,9.27,9.25,9.16,9.3,8.57,8.0
CA,9.68,9.9,9.97,9.68,9.97,9.95,10.43,10.45,10.0,9.69,9.82,10.08,10.42,10.54,10.7,10.71,10.82,10.83,11.1,11.21,10.88,10.83,10.63,10.78,10.93,10.76,10.91,10.91,11.07,11.1,11.47,11.59,11.21,10.8,10.81,11.17,11.1,10.91,11.11,11.15,11.39,11.5,11.66,11.76,11.32,11.18,11.21,11.29,11.12,11.13,11.27,11.46,11.34,11.59,11.84,11.83,11.53,11.14,11.2,11.52,11.31,11.28,11.56,11.39,11.64,11.73,11.99,12.05,11.77,11.42,11.37,11.65,11.43,11.16,11.25,11.27,11.53,10.42,11.56,11.88,11.36,11.36,11.0,11.52,11.23,11.01,11.26,11.3,11.55,11.61,11.84,11.92,11.62,11.59,11.28,11.64
CO,6.81,6.47,6.75,7.06,7.27,7.36,7.24,7.33,7.07,7.17,7.12,6.9,6.88,7.17,6.99,6.79,7.32,7.53,7.44,6.2,7.11,7.38,6.96,7.16,7.1,6.87,6.81,6.83,7.38,7.52,7.63,7.51,7.34,7.3,7.24,7.16,7.22,6.94,6.88,7.06,7.43,7.63,7.54,7.22,7.29,7.26,7.2,7.36,7.11,7.19,7.24,7.34,7.44,7.49,7.41,7.42,7.39,7.5,7.53,7.33,7.47,7.28,7.31,7.41,7.43,7.48,7.51,7.46,7.42,7.52,7.47,7.32,7.21,7.23,7.28,7.44,7.61,7.75,7.67,7.61,7.7,7.77,7.54,7.3,7.22,7.28,7.3,7.41,7.8,7.59,7.41,7.41,7.44,7.58,7.48,7.27
CT,9.42,9.96,9.7,9.65,10.04,10.55,9.95,9.96,10.13,10.67,10.49,10.07,9.88,10.21,10.31,10.29,10.62,10.47,10.37,10.54,10.68,11.39,11.13,10.64,10.77,10.92,10.48,10.71,11.81,11.32,11.22,11.27,11.42,11.51,11.23,10.71,11.2,10.68,11.22,11.58,11.88,12.09,11.72,11.56,11.45,11.51,11.37,10.96,10.79,10.64,11.14,11.72,11.8,12.0,11.53,11.89,12.42,11.25,11.87,11.46,11.28,11.29,11.41,11.64,12.04,11.68,12.27,12.57,12.55,12.99,12.27,11.83,11.9,11.98,12.01,11.85,12.14,12.01,11.91,12.54,12.63,12.27,12.01,11.58,11.75,11.8,11.97,12.17,12.39,12.5,12.24,12.47,12.56,12.49,12.01,11.7
DE,7.36,7.87,7.89,8.17,8.58,9.35,9.03,9.01,9.05,8.53,8.3,7.99,7.84,8.02,8.17,8.41,8.78,9.3,9.15,9.13,9.21,8.65,8.46,8.15,7.83,7.89,8.12,8.29,8.75,9.52,9.44,9.42,9.48,8.87,8.62,8.22,8.1,8.07,8.02,8.42,8.99,9.99,9.81,9.84,10.02,9.46,8.88,8.66,8.08,7.88,8.13,8.64,9.14,9.87,9.67,9.68,9.81,9.12,8.98,8.52,8.24,8.26,8.43,8.86,9.22,10.01,9.87,9.76,9.85,9.25,8.96,8.38,8.08,8.02,8.28,8.58,9.15,9.99,9.88,9.89,9.89,9.2,8.9,8.39,8.22,8.37,8.67,8.89,9.3,10.25,10.02,10.01,10.09,9.43,9.06,8.63
FL,7.68,7.84,7.79,7.9,7.83,7.71,7.7,7.7,7.69,7.76,7.89,7.96,8.18,8.24,8.23,7.97,7.85,7.8,7.78,7.72,7.72,7.84,7.98,7.95,7.98,7.87,7.94,7.8,7.79,7.65,7.59,7.58,7.6,7.7,7.94,7.78,7.84,7.85,7.82,8.21,8.23,8.05,7.99,7.98,8.01,7.92,8.0,7.97,7.93,7.91,7.95,7.85,7.72,7.71,7.64,7.65,7.66,7.79,7.86,7.85,7.8,7.79,7.86,7.88,7.76,7.71,7.71,7.71,7.72,7.96,8.07,8.06,7.87,7.92,8.01,7.98,7.94,7.85,7.93,7.94,7.97,8.15,8.25,8.22,8.16,8.22,8.27,8.28,8.24,8.14,7.92,8.04,8.06,7.88,7.98,7.93
GA,6.55,7.07,7.05,7.31,7.57,8.12,8.14,8.07,7.72,7.03,7.09,6.83,6.95,6.89,7.09,7.19,7.55,8.1,8.07,8.1,7.71,7.37,7.19,6.88,6.88,7.1,7.4,7.42,7.89,8.36,8.55,8.55,8.03,7.56,7.36,6.94,6.72,7.1,7.13,7.49,7.9,8.48,8.72,8.69,8.13,7.69,6.92,6.86,6.77,6.95,7.31,7.33,7.8,8.58,8.56,8.46,8.21,7.46,7.12,7.16,6.88,7.2,7.34,7.48,7.83,8.53,8.71,8.95,8.26,7.49,7.12,6.85,6.61,6.96,7.35,7.2,7.81,8.46,8.68,8.66,8.05,7.37,7.02,6.4,6.82,7.08,7.29,7.45,7.86,8.35,8.58,8.73,8.3,7.38,7.08,6.82
