GeoFips,GeoName,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4
01000,Alabama,50098.3,50708.1,51874.6,53376.5,53671.6,54892.5,56303.9,57241.3,59153.0,60018.5,60585.3,61647.1,62823.1,64011.2,64723.7,65378.8,66551.3,67411.6,68252.1,69714.9,71225.0,72691.6,73763.4,74337.8,75540.8,75954.9,76216.3,77672.3,78589.2,80182.7,81464.3,82910.8,84176.5,84956.8,85863.7,86578.4,87334.6,89001.0,89827.9,90708.7,92440.9,93008.3,94257.0,95701.2,98261.4,99241.2,100234.2,101354.6,102117.9,102300.8,103594.5,104803.1,105965.0,107747.9,108278.6,110020.2,110932.3,112233.7,112171.2,112239.4,112956.5,114670.2,115567.2,116836.8,118394.1,119047.4,120697.8,122824.7,125151.7,127616.9,129598.7,132057.7,132928.1,135219.7,136638.7,139563.5,142303.8,144474.9,145403.0,146694.4,149754.4,151617.0,152393.7,154005.2,155029.1,162237.3,157640.2,156214.8,154197.4,156433.8,155704.8,156331.7,158488.8,161353.3,163942.9,164490.4
02000,Alaska *,10614.2,10545.7,10540.3,10671.3,10800.9,10936.2,11129.7,11372.8,11557.6,12073.4,12486.7,12287.7,12479.2,12772.1,12960.5,13149.2,13210.8,13243.2,13477.7,13706.5,14075.2,14167.6,14370.9,14440.1,14874.8,14904.1,15009.8,15201.5,15334.4,15409.4,15556.4,15699.3,15842.4,15867.6,15972.2,16068.6,16134.9,16263.6,16473.8,16634.1,16899.7,17272.9,17406.9,17610.6,17992.2,18042.1,18155.3,18434.2,18453.2,18588.1,18641.3,19144.0,19682.4,19971.5,20267.6,20447.2,20812.1,21349.4,21369.3,21617.7,21898.5,22126.8,22427.8,22872.8,22849.6,23262.9,23553.6,23822.4,23961.0,24182.8,24540.0,25032.8,25256.4,25729.8,26276.3,26815.9,27215.7,27658.9,27735.7,28174.5,29260.3,29769.3,29848.8,30166.6,31969.9,33092.9,33049.3,33330.5,32542.0,32944.5,33012.8,33482.4,34475.9,35163.6,35750.7,36107.1
04000,Arizona,50706.5,51781.9,52470.5,54121.8,55027.6,55941.9,57348.7,58293.3,59624.5,60321.7,61119.6,62041.5,62628.2,63505.4,64338.0,64719.3,66072.2,66966.4,67273.2,68606.5,69709.3,71292.1,72024.9,73405.6,75185.6,76437.8,77188.9,78920.7,81083.1,83203.8,85345.0,87190.5,89372.3,90588.6,92806.5,94461.8,96874.8,98708.2,100416.3,101800.6,104913.8,106467.2,108655.7,111153.2,114284.9,116699.3,119072.5,121283.1,121786.2,124191.2,125759.5,127952.2,132026.7,134294.0,136800.0,139174.3,140738.7,142072.4,142610.9,142969.2,145235.7,146608.4,147738.6,150238.1,152730.9,154751.5,157057.2,161095.7,165062.8,168484.0,171665.2,176559.9,180072.7,185498.7,190671.1,194657.2,202630.5,206095.7,209461.4,212863.0,216787.3,219150.7,220790.7,221587.6,221503.9,228935.9,223470.9,220069.8,212847.6,212602.7,210678.2,213005.7,212130.7,215351.6,217482.0,219930.2
05000,Arkansas,27747.7,28110.7,28433.8,29135.1,29672.6,30386.9,30932.7,30966.8,32043.3,32455.8,32871.4,33408.5,33724.8,34273.8,34804.4,35021.8,35664.8,36109.5,36684.0,37518.8,38648.4,39570.2,39983.1,40588.4,40969.6,41352.0,41726.6,42443.2,43135.8,44019.2,44569.3,45284.5,46155.3,46713.2,47343.7,48236.7,48677.6,50138.0,50287.4,50775.2,51510.4,51822.9,52670.3,53918.7,54825.3,55377.9,55938.9,56603.3,57273.4,57415.9,58115.2,58883.7,59627.2,60430.4,61444.8,62042.2,63735.7,64351.5,64152.6,64434.4,64754.3,65408.8,65885.2,66747.0,68305.8,68941.2,70052.6,71325.9,72522.7,73640.8,74687.0,76384.1,76289.1,77471.3,78153.6,80047.4,81387.2,82782.6,83293.2,84103.5,86232.7,87816.4,88290.1,91303.4,90501.1,94763.8,92526.8,91951.0,91752.1,90939.7,90320.6,90956.7,91566.5,93848.3,95430.3,95662.8
06000,California,497378.9,508207.8,514319.1,526546.2,540008.2,552016.2,564373.3,574074.4,590093.0,594023.1,599928.7,616729.6,630882.8,640511.7,647283.6,655817.1,656889.8,662894.6,668733.5,677912.6,688316.6,699891.6,707109.6,712776.0,713631.6,717401.7,718801.6,726224.7,729864.6,739251.8,743952.0,753538.7,766929.0,774629.1,785271.8,791589.0,810281.7,824683.0,832942.5,844681.8,855423.0,867155.1,882549.2,900633.9,931602.2,943625.3,960955.8,977258.9,997604.0,1010126.3,1026838.1,1056162.6,1092962.9,1112732.3,1150264.1,1154241.0,1175565.0,1173015.5,1166764.8,1162120.1,1171907.9,1182603.6,1190704.7,1203907.6,1214766.6,1231040.6,1250937.1,1265672.4,1285348.8,1307329.4,1320853.4,1347157.3,1351103.9,1375257.3,1400078.8,1425095.3,1472105.4,1482976.9,1500342.9,1517442.8,1544257.3,1560236.6,1562585.6,1578149.1,1581045.9,1602953.6,1598349.5,1570829.3,1539232.3,1540030.7,1533392.0,1546619.7,1576815.7,1604032.1,1609613.5,1649528.6
08000,Colorado,53125.8,53764.6,54356.9,55469.8,55815.3,56969.2,58047.1,59100.2,61030.3,61456.7,62355.4,62845.9,64197.0,65297.8,66294.9,66736.9,67879.3,69053.8,70093.0,71505.6,73296.0,75111.1,76443.6,77196.5,79905.1,80977.4,82016.7,83895.9,84913.9,87264.7,88422.6,90754.3,93057.2,94455.9,96489.4,97873.5,100053.1,102243.3,103962.9,105640.5,107229.7,109296.3,111969.3,114390.9,118507.1,120994.8,125157.3,125652.6,128170.5,130339.4,131551.6,136789.4,140434.7,145171.8,149419.1,151217.5,154657.2,154907.4,153611.9,153090.5,152796.5,154303.4,154658.8,156210.5,155050.1,156201.6,159444.3,158925.1,159880.3,162670.8,163776.8,167946.0,169911.1,172856.8,175939.7,178283.5,185285.9,186853.3,189759.5,190889.3,196388.0,200011.9,201162.7,204882.0,205300.7,212552.8,212481.5,209928.1,204041.1,200012.1,198054.8,198572.1,200881.2,203728.5,207252.8,212351.1
09000,Connecticut,67665.8,69161.9,70896.5,72715.1,75154.2,76514.6,78372.3,80367.5,82246.6,83747.9,84973.4,85679.9,85631.3,86850.4,87544.4,87506.3,86798.6,87956.0,88059.2,88816.5,92137.4,93895.0,94610.7,96162.4,95120.9,96935.4,97920.3,99054.1,98714.5,99094.1,100222.9,101938.5,103623.6,104945.4,106275.0,107091.1,108156.4,110144.4,111235.0,112528.2,114709.8,116301.9,117750.2,120379.6,123941.4,125591.7,127665.8,129466.9,130661.5,132360.4,134917.6,136821.0,142658.9,144799.2,147779.9,149629.7,154167.5,155679.4,154210.1,154286.6,152835.4,154689.2,154941.6,155344.8,153214.9,155191.2,157508.6,159839.8,159727.2,162968.3,166682.9,169251.3,169349.8,171923.4,173875.4,178166.5,184291.3,186520.3,187424.7,190616.2,199584.2,201211.7,202038.8,202966.8,213732.3,216723.9,215095.0,213081.8,210719.8,212166.0,211788.9,214260.3,215789.2,220296.5,221531.2,221588.1
10000,Delaware,10770.1,11000.4,11242.1,11546.9,11690.8,12052.3,12512.2,12734.7,13236.3,13528.7,13736.2,13983.0,14152.9,14300.9,14505.9,14521.0,14925.7,15084.6,15311.7,15543.6,15574.8,15832.8,15968.1,16023.5,16121.1,16428.6,16520.4,16763.5,16740.0,17084.9,17222.6,17583.0,17764.6,18018.6,18258.7,18586.3,18836.6,19279.1,19573.4,19935.3,19894.7,19985.1,20507.2,20838.8,21982.5,22400.6,22619.0,22900.8,23808.2,23832.4,24120.4,24705.6,26002.9,26633.2,26843.3,26868.2,28779.6,29240.6,29619.0,29860.0,30224.4,30286.5,30444.3,30485.8,30338.3,30828.7,31408.5,31711.6,31282.4,32109.3,32338.0,33355.5,32371.7,32659.8,32861.5,34400.4,34512.0,35162.8,35247.4,35090.3,35994.7,36391.9,36112.2,36346.9,35738.4,36852.4,36529.6,36731.2,36558.2,36675.3,36629.6,36579.8,36193.7,36619.0,37309.0,37801.5
11000,District of Columbia,12659.2,12837.2,13092.4,13472.3,13695.0,14062.4,14581.4,14818.5,14923.2,15062.4,15165.2,15375.2,15493.6,15731.4,15929.0,16081.8,16231.8,16458.8,16601.6,16868.9,17074.2,17317.3,17480.0,17531.4,18001.0,18018.9,18062.0,18094.9,18200.2,18452.1,18535.2,18643.2,18552.0,18624.6,18567.7,18611.5,19060.1,19135.9,19433.5,19753.9,19916.1,20074.0,20375.1,20608.8,21027.4,21383.5,21782.4,21865.7,22136.3,22357.0,22794.4,23213.2,24340.9,24564.3,24900.1,25505.1,25475.0,25762.2,25801.8,25932.4,25452.1,25802.1,25960.1,26239.3,25659.1,25954.6,26285.0,26655.5,27682.4,28105.9,28481.0,29249.3,29163.0,29713.0,30087.6,30558.0,30964.9,31486.6,31828.4,32146.3,33273.2,33832.7,34431.4,34845.3,34543.8,35534.4,35416.7,35175.1,35454.6,35504.6,35467.3,35733.7,37242.4,37978.8,38486.4,39142.0
12000,Florida,189583.8,193057.4,197552.8,203478.3,208647.6,212602.2,219452.3,224700.6,233730.4,238463.3,243099.6,248046.5,252911.5,256679.7,259872.1,260940.9,264660.3,267658.6,269488.1,273589.3,277100.4,281886.7,285982.7,291391.5,296686.6,300211.3,302263.5,305446.7,309264.5,315518.8,319322.2,325425.0,333705.9,338532.9,343558.1,348695.7,354915.9,361183.1,365621.2,370538.9,377141.8,381900.0,388680.2,394994.7,406784.7,414756.1,420598.8,424746.5,428516.9,432716.2,438688.5,443800.1,460076.0,466519.1,475356.3,484400.8,493228.4,498291.3,498801.5,499020.4,505526.9,511728.7,516224.1,523675.6,528488.2,532783.9,543326.1,556867.1,567454.8,581082.6,591701.5,607773.1,617325.8,631071.3,644804.6,657209.3,677753.4,688997.0,693665.3,701608.9,709292.6,720357.3,723604.2,725682.4,722493.4,743083.7,726229.2,712173.8,688709.2,687078.6,680194.8,687948.9,711849.4,726970.7,736954.5,746986.0
