AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
62823.1,12479.2,62628.2,33724.8,630882.8,64197.0,85631.3,14152.9,252911.5,113762.5,24126.7,16055.1,235572.0,96874.2,48059.2,44800.7,56495.4,63182.2,21625.2,108740.4,137676.8,174074.9,85622.9,33743.4,90012.0,12151.8,28644.0,24239.0,22855.4,188656.4,22762.6,426021.2,114773.1,10112.0,198375.8,49978.5,50703.6,227710.6,20324.9,55064.2,11243.3,80060.0,289362.0,25202.5,10243.9,127510.9,96421.0,25621.6,88576.5,8041.1
62823.1,12479.2,62628.2,33724.8,630882.8,64197.0,85631.3,14152.9,252911.5,113762.5,24126.7,16055.1,235572.0,96874.2,48059.2,44800.7,56495.4,63182.2,21625.2,108740.4,137676.8,174074.9,85622.9,33743.4,90012.0,12151.8,28644.0,24239.0,22855.4,188656.4,22762.6,426021.2,114773.1,10112.0,198375.8,49978.5,50703.6,227710.6,20324.9,55064.2,11243.3,80060.0,289362.0,25202.5,10243.9,127510.9,96421.0,25621.6,88576.5,8041.1
62823.1,12479.2,62628.2,33724.8,630882.8,64197.0,85631.3,14152.9,252911.5,113762.5,24126.7,16055.1,235572.0,96874.2,48059.2,44800.7,56495.4,63182.2,21625.2,108740.4,137676.8,174074.9,85622.9,33743.4,90012.0,12151.8,28644.0,24239.0,22855.4,188656.4,22762.6,426021.2,114773.1,10112.0,198375.8,49978.5,50703.6,227710.6,20324.9,55064.2,11243.3,80060.0,289362.0,25202.5,10243.9,127510.9,96421.0,25621.6,88576.5,8041.1
64011.2,12772.1,63505.4,34273.8,640511.7,65297.8,86850.4,14300.9,256679.7,115614.3,24718.5,16264.2,239922.9,98169.7,48838.8,45528.6,57286.8,64363.1,21890.9,110678.8,139221.5,176902.3,87536.8,34276.1,91644.2,12311.7,29173.7,24810.3,23040.7,191807.4,23054.4,432100.5,116509.8,10221.5,203157.3,50820.5,51750.7,232070.6,20470.3,56276.0,11426.8,81251.2,296067.4,25779.5,10317.8,129161.1,98434.6,26089.3,90025.0,8227.3
64011.2,12772.1,63505.4,34273.8,640511.7,65297.8,86850.4,14300.9,256679.7,115614.3,24718.5,16264.2,239922.9,98169.7,48838.8,45528.6,57286.8,64363.1,21890.9,110678.8,139221.5,176902.3,87536.8,34276.1,91644.2,12311.7,29173.7,24810.3,23040.7,191807.4,23054.4,432100.5,116509.8,10221.5,203157.3,50820.5,51750.7,232070.6,20470.3,56276.0,11426.8,81251.2,296067.4,25779.5,10317.8,129161.1,98434.6,26089.3,90025.0,8227.3
64011.2,12772.1,63505.4,34273.8,640511.7,65297.8,86850.4,14300.9,256679.7,115614.3,24718.5,16264.2,239922.9,98169.7,48838.8,45528.6,57286.8,64363.1,21890.9,110678.8,139221.5,176902.3,87536.8,34276.1,91644.2,12311.7,29173.7,24810.3,23040.7,191807.4,23054.4,432100.5,116509.8,10221.5,203157.3,50820.5,51750.7,232070.6,20470.3,56276.0,11426.8,81251.2,296067.4,25779.5,10317.8,129161.1,98434.6,26089.3,90025.0,8227.3
64723.7,12960.5,64338.0,34804.4,647283.6,66294.9,87544.4,14505.9,259872.1,117577.1,25241.3,16467.7,242627.5,99843.5,49566.2,46271.1,58101.4,65500.2,22026.9,111935.8,140338.5,179461.9,88444.2,34707.8,92712.3,12487.5,29412.7,25441.7,23148.0,194112.1,23518.1,436745.6,117567.2,10331.9,204812.8,51650.9,52407.6,235221.4,20514.0,56975.0,11596.6,82747.6,302131.3,26317.5,10313.8,130574.7,100085.4,26418.7,91272.3,8299.4
64723.7,12960.5,64338.0,34804.4,647283.6,66294.9,87544.4,14505.9,259872.1,117577.1,25241.3,16467.7,242627.5,99843.5,49566.2,46271.1,58101.4,65500.2,22026.9,111935.8,140338.5,179461.9,88444.2,34707.8,92712.3,12487.5,29412.7,25441.7,23148.0,194112.1,23518.1,436745.6,117567.2,10331.9,204812.8,51650.9,52407.6,235221.4,20514.0,56975.0,11596.6,82747.6,302131.3,26317.5,10313.8,130574.7,100085.4,26418.7,91272.3,8299.4
64723.7,12960.5,64338.0,34804.4,647283.6,66294.9,87544.4,14505.9,259872.1,117577.1,25241.3,16467.7,242627.5,99843.5,49566.2,46271.1,58101.4,65500.2,22026.9,111935.8,140338.5,179461.9,88444.2,34707.8,92712.3,12487.5,29412.7,25441.7,23148.0,194112.1,23518.1,436745.6,117567.2,10331.9,204812.8,51650.9,52407.6,235221.4,20514.0,56975.0,11596.6,82747.6,302131.3,26317.5,10313.8,130574.7,100085.4,26418.7,91272.3,8299.4
65378.8,13149.2,64719.3,35021.8,655817.1,66736.9,87506.3,14521.0,260940.9,117557.9,25821.8,16586.0,245044.2,100011.1,49616.6,46380.0,58774.7,66374.5,21900.2,112214.5,139613.6,178993.8,88343.9,35018.5,93217.7,12565.8,29721.3,25665.9,22975.9,194107.5,23833.8,434547.4,117130.8,10359.6,205526.5,51998.5,52838.1,236597.0,20412.2,57248.8,11668.7,83090.2,303096.9,26604.1,10300.3,130999.7,101599.9,26607.4,91798.3,8356.2
