date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1992-01-01,10.39,6.35,7.46,8.33,10.93,7.1,10.77,5.74,7.83,7.98,6.88,10.14,7.28,4.78,9.35,6.35,7.22,5.36,7.17,10.21,7.15,11.71,8.0,6.65,6.55,6.59,6.5,7.73,5.72,5.35,11.09,10.16,8.86,6.21,11.43,7.36,6.35,4.87,9.27,10.79,7.02,6.53,5.65,6.65,6.97,7.12,10.99,4.5,6.63,5.89,5.66
1992-02-01,10.46,6.4,7.74,8.83,10.76,6.87,10.92,5.81,7.89,7.87,7.1,10.21,7.48,4.81,8.84,6.44,7.13,5.46,7.35,9.98,7.06,11.69,8.08,6.67,6.68,6.65,6.55,7.8,5.78,5.53,11.12,10.27,8.94,6.61,11.42,7.62,6.72,4.95,9.21,10.93,6.98,6.61,5.63,7.05,7.37,7.22,11.07,4.29,6.57,5.94,5.83
1992-03-01,10.46,6.74,8.01,9.02,10.91,6.81,10.48,5.76,8.12,7.94,7.4,10.0,7.78,4.83,9.92,6.82,7.59,5.6,7.57,10.03,7.29,11.48,7.97,6.82,7.04,6.85,6.68,7.98,5.95,5.72,11.1,10.35,9.24,6.56,11.49,7.86,7.13,5.0,9.35,10.93,7.31,6.79,5.64,7.39,6.96,7.46,9.76,4.41,6.68,6.11,5.97
1992-04-01,10.93,6.78,8.08,9.52,10.91,6.83,10.71,5.6,8.29,7.8,7.42,10.27,7.9,4.86,9.94,6.78,7.82,5.59,7.33,9.95,7.33,11.24,8.04,6.82,7.04,7.14,5.86,7.97,6.13,5.76,11.14,10.5,9.17,6.57,11.6,7.99,7.2,4.84,9.36,10.99,7.22,6.96,5.65,7.51,6.89,7.53,7.94,4.36,6.83,6.07,6.08
1992-05-01,11.11,7.04,8.48,9.67,11.07,7.38,11.81,5.7,8.75,7.79,7.89,10.08,8.27,4.98,10.43,7.35,8.47,5.92,7.54,10.41,8.22,11.11,7.99,7.14,7.93,7.41,5.42,8.25,6.61,6.2,11.27,10.76,9.36,6.06,12.21,8.67,7.18,4.89,9.63,10.95,7.42,7.42,5.79,8.16,7.01,8.09,8.4,4.34,7.06,6.37,6.29
1992-06-01,10.93,6.86,9.07,10.19,11.1,7.52,11.32,6.99,9.52,7.65,8.36,10.12,8.9,5.2,11.36,7.32,8.91,6.21,7.42,10.5,9.36,11.03,8.25,7.13,8.78,7.19,5.5,8.23,7.23,7.5,11.39,11.62,9.06,6.16,13.09,9.19,7.67,4.88,10.13,11.22,7.42,7.76,5.77,8.23,6.97,8.32,8.54,4.27,7.18,6.38,6.37
1992-07-01,11.28,6.78,8.6,10.12,11.47,7.63,11.22,7.85,9.44,7.59,8.55,10.5,8.84,5.15,11.51,6.99,8.44,5.92,7.48,11.14,9.22,11.07,8.26,7.58,8.51,6.83,5.47,8.47,7.39,7.19,11.6,11.6,9.07,5.74,13.31,8.79,7.56,4.95,10.44,11.7,7.25,7.74,5.7,8.19,6.95,7.61,8.44,4.39,7.13,6.25,6.37
1992-08-01,11.3,6.78,8.56,10.13,11.59,7.51,11.27,8.56,9.42,7.58,8.55,10.92,8.84,5.04,11.29,6.9,8.12,5.87,7.6,10.95,9.19,11.1,8.25,7.55,8.23,6.94,5.44,8.31,7.4,7.21,11.63,11.65,9.12,5.84,13.46,8.88,7.73,4.89,10.25,11.52,7.09,7.72,5.7,7.99,6.87,8.26,8.5,4.26,7.12,6.27,6.28
1992-09-01,11.34,6.72,8.72,10.25,11.21,7.34,11.42,7.95,9.48,7.6,8.03,12.15,8.75,5.19,11.48,7.07,8.21,5.92,7.55,11.07,8.85,11.15,8.35,7.32,7.73,6.97,5.46,8.46,7.2,7.33,11.6,11.63,9.18,6.2,13.46,9.14,7.82,5.06,10.12,11.28,7.16,7.72,5.73,8.15,6.91,7.97,7.93,4.4,7.1,6.35,6.37
1992-10-01,10.84,7.03,8.55,10.18,10.8,7.3,11.51,7.34,8.87,7.7,7.56,12.09,8.14,5.09,11.0,7.34,7.88,5.73,7.8,11.14,8.39,11.26,8.01,6.98,7.24,7.27,5.37,8.53,6.49,6.33,11.59,10.44,9.32,6.25,12.95,8.57,7.02,5.08,9.89,11.47,7.13,7.56,5.8,8.24,6.99,7.86,8.08,4.61,7.21,6.39,6.53
